No.,Lokasi,tanggal,Minyak_Goreng_Kemasan,Minyak_Goreng_Curah,Kelapa_Sawit
181,Jawa Timur,10/18/2022,16.33,13.2,1589
182,Jawa Timur,10/19/2022,16.41,13.22,1628
183,Jawa Timur,10/20/2022,16.55,13.29,1591
184,Jawa Timur,10/21/2022,16.51,13.46,1632
185,Jawa Timur,10/22/2022,16.71,13.45,1619
186,Jawa Timur,10/23/2022,16.53,13.42,1634
187,Jawa Timur,10/24/2022,16.52,13.68,1610
188,Jawa Timur,10/25/2022,16.72,13.78,1648
189,Jawa Timur,10/26/2022,16.65,13.85,3031
190,Jawa Timur,10/27/2022,16.67,13.99,3126
191,Jawa Timur,10/28/2022,16.76,13.99,1689
192,Jawa Timur,10/29/2022,16.86,14.05,1682
193,Jawa Timur,10/30/2022,16.72,13.86,3399
194,Jawa Timur,10/31/2022,16.82,13.83,1674
195,Jawa Timur,11/1/2022,16.72,13.73,1738
196,Jawa Timur,11/2/2022,16.65,14.13,1788
197,Jawa Timur,11/3/2022,17.03,14.14,1788
198,Jawa Timur,11/4/2022,16.71,14.21,1805
199,Jawa Timur,11/5/2022,16.96,14.23,1819
200,Jawa Timur,11/6/2022,17.22,14.14,1797
201,Jawa Timur,11/7/2022,16.84,14.22,1839
202,Jawa Timur,11/8/2022,16.57,14.16,1857
203,Jawa Timur,11/9/2022,16.72,14.09,1842
204,Jawa Timur,11/10/2022,16.77,14.39,1843
205,Jawa Timur,11/11/2022,16.88,14.16,1839
206,Jawa Timur,11/12/2022,16.85,14.03,1858
207,Jawa Timur,11/13/2022,17,14.08,1855
208,Jawa Timur,11/14/2022,16.69,14.1,1822
209,Jawa Timur,11/15/2022,16.61,14.23,1839
210,Jawa Timur,11/16/2022,16.79,14.24,1853
211,Jawa Timur,11/17/2022,16.86,14.47,1834
212,Jawa Timur,11/18/2022,16.7,14.3,3088
213,Jawa Timur,11/19/2022,16.62,14.17,1828
